doc_id,ai_overall,ai_score_ml,ai_score_nlp,ai_score_vision,ai_score_planning
US10000001,0.91,0.88,0.12,0.05,0.34
US10000002,0.93,0.42,0.05,0.94,0.18
US10000003,0.89,0.31,0.96,0.03,0.12
US10000004,0.87,0.52,0.04,0.21,0.91
US10000005,0.86,0.9,0.14,0.02,0.16
US10000006,0.95,0.61,0.02,0.97,0.1
US10000007,0.82,0.84,0.03,0.11,0.27
US10000008,0.9,0.37,0.98,0.05,0.09
US10000009,0.88,0.28,0.04,0.95,0.15
US10000010,0.92,0.79,0.02,0.06,0.94
US10000011,0.85,0.87,0.33,0.04,0.21
US10000012,0.94,0.46,0.01,0.99,0.13
